id,question,intent,chart_type,table,dimension,metric_or_operation,filters,semantic_attributes
479,Cuántos sílabos tienen referencias bibliográficas,count,,silabos,,COUNT,referencias_bibliograficas IS NOT NULL,[entity:referencia][filter:null][intent:count]
480,Sílabos sin resultado de aprendizaje de sesión,list,,silabos,,,ra_sesion IS NULL,[entity:ra_sesion][filter:null][intent:list]
481,Total de créditos de cursos obligatorios en Sistemas,aggregate,,malla_curricular,,SUM(creditos),programa=Sistemas&tipo_curso=obligatorio,[programa:Sistemas][filter:tipo_curso][metric:creditos]
482,Horas de cursos electivos en Administración,aggregate,,malla_curricular,,SUM(horas_totales),programa=Administracion&tipo_curso=electivo,[programa:Administracion][filter:tipo_curso][metric:horas]
483,Cuántos créditos tienen los cursos de libre elección,aggregate,,malla_curricular,,AVG(creditos),tipo_curso=libre_eleccion,[filter:tipo_curso][metric:creditos][intent:aggregate]
484,Distribución de créditos por naturaleza de curso,aggregate,bar,malla_curricular,naturaleza_curso,SUM(creditos),,[dimension:naturaleza][metric:creditos][intent:aggregate]
485,Cursos teórico-prácticos por programa en UPEU,count,bar,malla_curricular,programa_estudio,COUNT,naturaleza_curso=teorico-practico,[filter:naturaleza][intent:count][institution:UPEU]
486,Cuántos cursos son solo teóricos en Teología,count,,malla_curricular,,COUNT,programa=Teologia&naturaleza_curso=teorico,[programa:Teologia][filter:naturaleza][intent:count]
487,Cursos prácticos de laboratorio en Biología,list,,malla_curricular,,,programa=Biologia&naturaleza_curso=laboratorio,[programa:Biologia][filter:naturaleza][intent:list]
488,Distribución de naturaleza de cursos en Enfermería,count,pie,malla_curricular,naturaleza_curso,COUNT,programa=Enfermeria,[programa:Enfermeria][dimension:naturaleza][intent:chart]
489,Promedio de créditos de cursos teóricos vs prácticos,aggregate,bar,malla_curricular,naturaleza_curso,AVG(creditos),,[dimension:naturaleza][metric:creditos][intent:aggregate]
490,Total de horas teóricas de cursos obligatorios por ciclo,aggregate,bar,malla_curricular,ciclo,SUM(horas_teoricas),tipo_curso=obligatorio,[filter:tipo_curso][metric:horas_teoricas][dimension:ciclo]
491,Cuántos programas de Ingeniería hay en la UPEU,count,,plan_estudios,,COUNT,programa_estudio CONTAINS Ingenieria,[institution:UPEU][filter:programa][intent:count]
492,Cuántas escuelas profesionales hay en Ciencias de la Salud,count,,plan_estudios,,COUNT(DISTINCT programa_estudio),facultad=Ciencias de la Salud,[facultad:Salud][intent:count][entity:escuela]
493,Distribución de programas por modalidad en Empresariales,count,bar,plan_estudios,modalidad_estudio,COUNT,facultad=Ciencias Empresariales,[facultad:Empresariales][dimension:modalidad][intent:count]
494,Cuántos programas tienen más de 10 ciclos en la UPEU,count,,plan_estudios,,COUNT,total_ciclos > 10,[institution:UPEU][metric:ciclos][filter:range]
495,Programas con plan vigente y más de 180 créditos,list,,plan_estudios,,,estado=activo&total_creditos > 180,[filter:estado][metric:creditos][filter:range]
496,Cuántos programas tienen grado de licenciatura,count,,plan_estudios,,COUNT,grado_academico=licenciatura,[filter:grado][intent:count]
497,Distribución de títulos por sede en UPEU,count,bar,plan_estudios,sede,COUNT(DISTINCT titulo_profesional),,[institution:UPEU][dimension:sede][entity:titulo]
498,Planes con título de Ingeniero por facultad,count,bar,plan_estudios,facultad,COUNT,titulo_profesional CONTAINS Ingeniero,[filter:titulo][dimension:facultad][intent:count]
499,Programas con plan en más de una sede,list,,plan_estudios,programa_estudio,,,[multi_sede][intent:list][entity:programa]
500,Cuántos grados académicos distintos otorga la UPEU,count,,plan_estudios,,COUNT(DISTINCT grado_academico),,[institution:UPEU][intent:count][entity:grado]
501,Cuántos cursos de Matemáticas hay en Ingeniería de Sistemas por ciclo,count,bar,malla_curricular,ciclo,COUNT,programa=Sistemas&curso CONTAINS Matematica,[programa:Sistemas][filter:curso][dimension:ciclo]
502,Distribución de cursos de Física en Ingeniería Civil,count,bar,malla_curricular,ciclo,COUNT,programa=Civil&curso CONTAINS Fisica,[programa:Civil][filter:curso][dimension:ciclo]
503,Cuántos cursos de Química hay en Farmacia y Bioquímica,count,,malla_curricular,,COUNT,programa=Farmacia&curso CONTAINS Quimica,[programa:Farmacia][filter:curso][intent:count]
504,Recursos de Anatomía en Medicina por unidad,list,,recurso_aprendizaje,,,curso=Anatomia&programa=Medicina,[programa:Medicina][filter:curso][entity:recurso]
505,Cuántas unidades tiene el sílabo de Histología,count,,silabos,,COUNT(unidad),curso=Histologia,[filter:curso][entity:unidad][intent:count]
506,Sesiones del curso de Epidemiología en Enfermería,list,,silabos,sesion,,curso=Epidemiologia&programa=Enfermeria,[programa:Enfermeria][filter:curso][entity:sesion]
507,Cuántos créditos tiene Cálculo Diferencial en Sistemas,aggregate,,malla_curricular,,SUM(creditos),curso=Calculo Diferencial&programa=Sistemas,[programa:Sistemas][filter:curso][metric:creditos]
508,Resultados de aprendizaje del curso Bioética en Medicina,list,,silabos,ra_unitario,,curso=Bioetica&programa=Medicina,[programa:Medicina][filter:curso][entity:ra_unitario]
509,Cuántos recursos tiene el curso de Álgebra Lineal,count,,recurso_aprendizaje,,COUNT,curso=Algebra Lineal,[filter:curso][entity:recurso][intent:count]
510,Distribución de horas de Fisiopatología por ciclo,count,bar,malla_curricular,ciclo,SUM(horas_totales),curso=Fisiopatologia,[filter:curso][metric:horas][dimension:ciclo]
511,Cuántos cursos requieren competencia digital en UPEU,count,,malla_curricular,,COUNT,curso CONTAINS digital,[institution:UPEU][filter:contenido][intent:count]
512,Cursos que desarrollan pensamiento crítico en Educación,list,,silabos,,,programa=Educacion&sumilla CONTAINS critico,[programa:Educacion][filter:sumilla][intent:list]
513,Cuántos programas tienen curso de emprendimiento,count,,malla_curricular,,COUNT(DISTINCT programa_estudio),curso CONTAINS emprendimiento,[filter:curso][entity:programa][intent:count]
514,Cursos de liderazgo en Empresariales,list,,malla_curricular,,,facultad=Ciencias Empresariales&curso CONTAINS liderazgo,[facultad:Empresariales][filter:curso][intent:list]
515,Distribución de cursos de investigación por facultad,count,bar,malla_curricular,facultad,COUNT,curso CONTAINS investigacion,[filter:curso][dimension:facultad][intent:count]
516,Cuántos sílabos mencionan trabajo colaborativo,count,,silabos,,COUNT,sumilla CONTAINS colaborativo,[filter:sumilla][intent:count]
517,Cursos con estrategias de aprendizaje activo,list,,silabos,,,sumilla CONTAINS activo,[filter:sumilla][intent:list]
518,Cuántos programas tienen curso de salud mental,count,,malla_curricular,,COUNT(DISTINCT programa_estudio),curso CONTAINS salud mental,[filter:curso][entity:programa][intent:count]
519,Recursos de tecnología educativa por programa,list,,recurso_aprendizaje,,,palabras_clave CONTAINS tecnologia,[filter:palabras_clave][entity:recurso][intent:list]
520,Cuántos cursos mencionan inteligencia artificial en sumilla,count,,silabos,,COUNT,sumilla CONTAINS inteligencia artificial,[filter:sumilla][intent:count]
521,Scatter de créditos vs horas teóricas por programa,chart,scatter,malla_curricular,,creditos vs horas_teoricas,,[intent:chart][chart:scatter][metric:creditos][metric:horas]
522,Histograma de distribución de horas prácticas,chart,histogram,malla_curricular,,horas_practicas,,[intent:chart][chart:histogram][metric:horas_practicas]
523,Boxplot de créditos por facultad en UPEU,chart,boxplot,malla_curricular,facultad,creditos,,[intent:chart][chart:boxplot][institution:UPEU]
524,Tendencia de planes aprobados por año en UPEU,chart,line,plan_estudios,periodo_inicio,COUNT,,[intent:chart][chart:line][institution:UPEU][temporal]
525,Heatmap de cursos por área y ciclo en Sistemas,chart,heatmap,malla_curricular,area_formacion-ciclo,COUNT,programa=Sistemas,[intent:chart][chart:heatmap][programa:Sistemas]
526,Scatter de total créditos vs total ciclos por programa,chart,scatter,plan_estudios,,total_creditos vs total_ciclos,,[intent:chart][chart:scatter][metric:creditos]
527,Distribución porcentual de tipos de curso en UPEU,chart,pie,malla_curricular,tipo_curso,COUNT,,[intent:chart][chart:pie][institution:UPEU]
528,Evolución de evidencias SUNEDU por año,chart,line,sunedu_evidencia_curricular,fecha_registro,COUNT,,[intent:chart][chart:line][entity:sunedu][temporal]
529,Heatmap de cumplimiento C1 por facultad y sede,chart,heatmap,sunedu_evidencia_curricular,facultad-sede,COUNT,codigo_formato=C1,[intent:chart][chart:heatmap][entity:sunedu][filter:C1]
530,Boxplot de años de publicación de recursos,chart,boxplot,recurso_aprendizaje,,anio_publicacion,,[intent:chart][chart:boxplot][entity:recurso]
531,cuántos cursos tiene sistemas en niania,count,,silabos,,COUNT,programa=Sistemas&sede=Ñaña,[programa:Sistemas][sede:Ñaña][intent:count]
532,dame la distribucion de creditos de enfermería por ciclo,aggregate,bar,malla_curricular,ciclo,SUM(creditos),programa=Enfermeria,[programa:Enfermeria][metric:creditos][dimension:ciclo]
533,muéstrame los recursos bibliográficos de teología,list,,recurso_aprendizaje,,,programa=Teologia,[programa:Teologia][entity:recurso][intent:list]
534,hazme un gráfico de cursos por sede en upeu,chart,bar,silabos,sede,COUNT,,[institution:UPEU][intent:chart][chart:bar]
535,cuantas evidencias hay en juliaca para c2,count,,sunedu_evidencia_curricular,,COUNT,sede=Juliaca&codigo_formato=C2,[sede:Juliaca][filter:C2][entity:sunedu]
536,ranking de programas con más horas en ciencias de la salud,ranking,horizontal_bar,malla_curricular,programa_estudio,SUM(horas_totales),facultad=Ciencias de la Salud,[facultad:Salud][intent:ranking][metric:horas]
537,distribución de planes por grado académico en upeu,count,pie,plan_estudios,grado_academico,COUNT,,[institution:UPEU][dimension:grado][intent:chart]
538,ver los cursos del ciclo 1 de administración en lima,list,,malla_curricular,,,ciclo=1&programa=Administracion&sede=Lima,[ciclo:1][programa:Administracion][sede:Lima]
539,promedio de creditos de cursos electivos en ingeniería,aggregate,,malla_curricular,,AVG(creditos),facultad=Ingenieria&tipo_curso=electivo,[facultad:Ingenieria][filter:tipo_curso][metric:creditos]
540,cuántos recursos sin url tiene enfermería,count,,recurso_aprendizaje,,COUNT,programa=Enfermeria&url_recurso IS NULL,[programa:Enfermeria][filter:null][entity:recurso]
541,Cuántos cursos de Teología tienen fundamento bíblico explícito,count,,silabos,,COUNT,programa=Teologia&sumilla CONTAINS biblica,[programa:Teologia][adventista][filter:sumilla]
542,Recursos relacionados con el libro La Educación de Elena White,list,,recurso_aprendizaje,,,autor CONTAINS White&titulo_recurso CONTAINS Educacion,[adventista][filter:titulo][filter:autor]
543,Cuántos cursos integran servicio y misión adventista,count,,malla_curricular,,COUNT,curso CONTAINS mision,[adventista][filter:curso][intent:count]
544,Distribución de cursos de formación adventista por facultad,count,bar,malla_curricular,facultad,COUNT,area_formacion=formacion_adventista,[adventista][dimension:facultad][intent:count]
545,Cuántos cursos de Teología tienen recurso de Elena White,count,,recurso_aprendizaje,,COUNT,programa=Teologia&autor CONTAINS White,[adventista][programa:Teologia][filter:autor]
546,Cursos con énfasis en mayordomía y salud integral,list,,silabos,,,sumilla CONTAINS mayordomi,[adventista][filter:sumilla][intent:list]
547,Cuántos programas tienen curso de cosmovisión cristiana,count,,malla_curricular,,COUNT(DISTINCT programa_estudio),curso CONTAINS cosmovision,[adventista][intent:count][entity:programa]
548,Recursos de apologética cristiana en Teología,list,,recurso_aprendizaje,,,programa=Teologia&palabras_clave CONTAINS apologetica,[adventista][programa:Teologia][filter:palabras_clave]
549,Distribución de cursos de Biblia por ciclo en Teología,count,bar,malla_curricular,ciclo,COUNT,programa=Teologia&curso CONTAINS Biblia,[adventista][programa:Teologia][filter:curso][dimension:ciclo]
550,Cuántos sílabos de Teología citan el Espíritu de Profecía,count,,recurso_aprendizaje,,COUNT,programa=Teologia&palabras_clave CONTAINS profecia,[adventista][programa:Teologia][filter:contenido]
551,Cuántos cursos de gestión hospitalaria hay en Medicina,count,,malla_curricular,,COUNT,programa=Medicina&curso CONTAINS gestion,[programa:Medicina][filter:curso][intent:count]
552,Créditos de cursos teórico-prácticos en Enfermería Ñaña,aggregate,,malla_curricular,,SUM(creditos),programa=Enfermeria&sede=Ñaña&naturaleza=teorico-practico,[programa:Enfermeria][sede:Ñaña][filter:naturaleza][metric:creditos]
553,Cuántos cursos de Administración en Lima tienen más de 3 créditos,count,,malla_curricular,,COUNT,programa=Administracion&sede=Lima&creditos > 3,[programa:Administracion][sede:Lima][metric:creditos][filter:range]
554,Recursos de Contabilidad de Costos en Tarapoto,list,,recurso_aprendizaje,,,curso=Contabilidad de Costos&sede=Tarapoto,[filter:curso][sede:Tarapoto][entity:recurso]
555,Evidencias de C2 en Sistemas en Ñaña por estado,count,bar,sunedu_evidencia_curricular,estado_validacion,COUNT,programa=Sistemas&codigo_formato=C2&sede=Ñaña,[programa:Sistemas][filter:C2][sede:Ñaña][entity:sunedu]
556,Total de horas de Farmacia en Juliaca por ciclo,aggregate,bar,malla_curricular,ciclo,SUM(horas_totales),programa=Farmacia&sede=Juliaca,[programa:Farmacia][sede:Juliaca][dimension:ciclo][metric:horas]
557,Cuántos sílabos de Psicología tienen sumilla en Tarapoto,count,,silabos,,COUNT,programa=Psicologia&sede=Tarapoto&sumilla IS NOT NULL,[programa:Psicologia][sede:Tarapoto][entity:sumilla]
558,Ranking de cursos por créditos en Enfermería Lima,ranking,horizontal_bar,malla_curricular,curso,MAX(creditos),programa=Enfermeria&sede=Lima,[programa:Enfermeria][sede:Lima][intent:ranking][metric:creditos]
559,Distribución de evidencias C1 por programa en Juliaca,count,bar,sunedu_evidencia_curricular,programa_estudio,COUNT,codigo_formato=C1&sede=Juliaca,[entity:sunedu][filter:C1][sede:Juliaca][dimension:programa]
560,Planes activos de Ingeniería en Ñaña con más de 200 créditos,list,,plan_estudios,,,facultad=Ingenieria&sede=Ñaña&total_creditos > 200&estado=activo,[facultad:Ingenieria][sede:Ñaña][metric:creditos][filter:range]
561,cuántos cursos en upeu tienen más de 6 créditos,count,,malla_curricular,,COUNT,creditos > 6,[institution:UPEU][metric:creditos][filter:range]
562,lista de todos los programas de la upeu con su sede,list,,plan_estudios,programa_estudio,,,[institution:UPEU][entity:programa][entity:sede]
563,total de evidencias registradas en upeu para sunedu,count,,sunedu_evidencia_curricular,,COUNT,,[institution:UPEU][entity:sunedu][intent:count]
564,ranking de programas con más recursos de aprendizaje en upeu,ranking,horizontal_bar,recurso_aprendizaje,programa_estudio,COUNT,,[institution:UPEU][entity:recurso][intent:ranking]
565,distribución de cursos por nivel académico en upeu,count,bar,plan_estudios,nivel_academico,COUNT,,[institution:UPEU][dimension:nivel][intent:count]
566,cuántos cursos de cada tipo hay en toda la upeu,count,bar,malla_curricular,tipo_curso,COUNT,,[institution:UPEU][dimension:tipo_curso][intent:count]
567,planes de estudio vigentes en las tres sedes de upeu,list,,plan_estudios,,,estado=activo,[institution:UPEU][filter:estado][multi_sede]
568,resumen general de cursos créditos y programas en toda la upeu,count,bar,silabos,facultad,COUNT,,[institution:UPEU][resumen_general][multi_entity]
569,Cuántos cursos de pregrado hay en la UPEU,count,,plan_estudios,,COUNT,nivel_academico=pregrado,[institution:UPEU][intent:count][nivel:pregrado]
570,Programas de maestría por sede,count,bar,plan_estudios,sede,COUNT,nivel_academico=maestria,[nivel:maestria][dimension:sede][intent:count]
571,Cuántos doctorados ofrece la UPEU,count,,plan_estudios,,COUNT,nivel_academico=doctorado,[institution:UPEU][nivel:doctorado][intent:count]
572,Distribución de diplomas por facultad,count,bar,plan_estudios,facultad,COUNT,nivel_academico=diploma,[nivel:diploma][dimension:facultad][intent:count]
573,Programas de segunda especialidad en Ciencias de la Salud,list,,plan_estudios,,,nivel_academico=segunda_especialidad&facultad=Ciencias de la Salud,[nivel:segunda_especialidad][facultad:Salud]
574,Cuántos programas de posgrado hay en Juliaca,count,,plan_estudios,,COUNT,nivel_academico=posgrado&sede=Juliaca,[nivel:posgrado][sede:Juliaca][intent:count]
575,Total de créditos promedio en maestrías UPEU,aggregate,,plan_estudios,,AVG(total_creditos),nivel_academico=maestria,[institution:UPEU][nivel:maestria][intent:aggregate]
576,Gráfico de programas por nivel académico,chart,pie,plan_estudios,nivel_academico,COUNT,,[intent:chart][chart:pie][dimension:nivel]
577,Cuántos grados académicos distintos otorga la UPEU en Lima,count,,plan_estudios,,COUNT(DISTINCT grado_academico),sede=Lima,[institution:UPEU][sede:Lima][entity:grado][intent:count]
578,Programas de Ingeniería con más de 200 créditos,list,,plan_estudios,,,facultad=Ingenieria&total_creditos > 200,[facultad:Ingenieria][metric:creditos][filter:range]
579,Diferencia de créditos entre Lima y Juliaca por programa,chart,bar,plan_estudios,programa_estudio,SUM(total_creditos),,[comparative][dimension:sede][metric:creditos]
580,Cuántos programas tienen perfil de egreso con enfoque investigativo,count,,plan_estudios,,COUNT,perfil_egreso CONTAINS investigacion,[entity:perfil_egreso][filter:contenido][intent:count]
581,Cuántos sílabos hay por grupo en Administración Lima,count,bar,silabos,grupo,COUNT,programa=Administracion&sede=Lima,[programa:Administracion][sede:Lima][dimension:grupo][intent:count]
582,Distribución de secciones por ciclo en Sistemas Juliaca,count,bar,silabos,ciclo,COUNT(DISTINCT grupo),programa=Sistemas&sede=Juliaca,[programa:Sistemas][sede:Juliaca][entity:seccion]
583,Cuántos grupos distintos tiene Medicina en Ñaña,count,,silabos,,COUNT(DISTINCT grupo),programa=Medicina&sede=Ñaña,[programa:Medicina][sede:Ñaña][entity:grupo]
584,Secciones con más sílabos registrados por programa,ranking,horizontal_bar,silabos,grupo,COUNT,,[entity:grupo][intent:ranking]
585,Cuántas secciones de Enfermería hay en Tarapoto,count,,silabos,,COUNT(DISTINCT grupo),programa=Enfermeria&sede=Tarapoto,[programa:Enfermeria][sede:Tarapoto][entity:seccion]
586,Lista de grupos del curso de Estadística en Lima,list,,silabos,grupo,,curso=Estadistica&sede=Lima,[entity:grupo][sede:Lima][intent:list]
587,Cuántos grupos hay en el ciclo 5 de Contabilidad,count,,silabos,,COUNT(DISTINCT grupo),programa=Contabilidad&ciclo=5,[programa:Contabilidad][ciclo:5][entity:grupo]
588,Cuántos grupos hay por sede en total en UPEU,count,bar,silabos,sede,COUNT(DISTINCT grupo),,[institution:UPEU][entity:grupo][dimension:sede]
589,Mapa de calor de sílabos por programa y sede,chart,heatmap,silabos,programa_estudio-sede,COUNT,,[intent:chart][chart:heatmap]
590,Tendencia de cursos registrados por periodo en Sistemas,chart,line,silabos,ciclo,COUNT,programa=Sistemas,[programa:Sistemas][intent:chart][chart:line][temporal]
591,Cuántos libros de texto tiene Medicina,count,,recurso_aprendizaje,,COUNT,programa=Medicina&tipo_recurso=libro,[programa:Medicina][entity:recurso][filter:tipo]
592,Recursos de Anatomía Humana en todas las sedes,list,,recurso_aprendizaje,,,curso=Anatomia,[filter:curso][entity:recurso][multi_sede]
593,Cuántos artículos científicos hay en Enfermería,count,,recurso_aprendizaje,,COUNT,programa=Enfermeria&tipo_recurso=articulo,[programa:Enfermeria][filter:tipo][entity:recurso]
594,Distribución de recursos por formato en Sistemas,count,pie,recurso_aprendizaje,formato,COUNT,programa=Sistemas,[programa:Sistemas][entity:recurso][dimension:formato][intent:chart]
595,Recursos más recientes de Farmacia por año,ranking,horizontal_bar,recurso_aprendizaje,curso,MAX(anio_publicacion),programa=Farmacia,[programa:Farmacia][entity:recurso][temporal:reciente][intent:ranking]
596,Cuántos recursos tienen ISBN registrado en Medicina,count,,recurso_aprendizaje,,COUNT,programa=Medicina&tipo_recurso=libro,[programa:Medicina][entity:recurso][filter:tipo]
597,Top autores más citados en Ingeniería,ranking,horizontal_bar,recurso_aprendizaje,autor,COUNT,facultad=Ingenieria,[facultad:Ingenieria][entity:recurso][intent:ranking]
598,Cuántos recursos hay por idioma en toda la UPEU,count,bar,recurso_aprendizaje,idioma,COUNT,,[institution:UPEU][entity:recurso][dimension:idioma]
599,Libros sin editorial registrada en Contabilidad,list,,recurso_aprendizaje,,,programa=Contabilidad&editorial IS NULL&tipo_recurso=libro,[programa:Contabilidad][entity:recurso][filter:null]
600,Recursos web de Psicología por unidad,list,,recurso_aprendizaje,unidad,,programa=Psicologia&tipo_recurso=web,[programa:Psicologia][entity:recurso][filter:tipo][entity:unidad]
601,cuántos cursos de teología hay en ñaña,count,,silabos,,COUNT,programa=Teologia&sede=Ñaña,[programa:Teologia][sede:Ñaña][intent:count]
602,dame los planes activos de ciencias de la salud,list,,plan_estudios,,,facultad=Ciencias de la Salud&estado=activo,[facultad:Salud][filter:estado][intent:list]
603,cuantas horas tiene medicina en juliaca,aggregate,,malla_curricular,,SUM(horas_totales),programa=Medicina&sede=Juliaca,[programa:Medicina][sede:Juliaca][metric:horas]
604,graficame los cursos por area de formacion en sistemas,chart,bar,malla_curricular,area_formacion,COUNT,programa=Sistemas,[programa:Sistemas][intent:chart][dimension:area]
605,evidencias validadas por facultad en upeu,count,bar,sunedu_evidencia_curricular,facultad,COUNT,estado=validado,[institution:UPEU][dimension:facultad][entity:sunedu]
606,ranking de ciclos con mas creditos en administracion,ranking,horizontal_bar,malla_curricular,ciclo,SUM(creditos),programa=Administracion,[programa:Administracion][intent:ranking][metric:creditos]
607,distribucion de recursos por tipo en enfermeria,count,pie,recurso_aprendizaje,tipo_recurso,COUNT,programa=Enfermeria,[programa:Enfermeria][entity:recurso][intent:chart]
608,muestrame los cursos del ciclo 6 de contabilidad,list,,malla_curricular,,,programa=Contabilidad&ciclo=6,[programa:Contabilidad][ciclo:6][intent:list]
609,total de creditos por area de formacion en toda la upeu,aggregate,bar,malla_curricular,area_formacion,SUM(creditos),,[institution:UPEU][dimension:area][metric:creditos]
610,cuantos items de c2 son obligatorios,count,,sunedu_formato_item,,COUNT,codigo_formato=C2&obligatorio=si,[entity:sunedu][filter:C2][filter:obligatorio]
611,Cuántos sílabos tienen bibliografía actualizada,count,,recurso_aprendizaje,,COUNT,anio_publicacion>=2018,[temporal:reciente][intent:count]
612,Cursos sin recursos de aprendizaje registrados,list,,malla_curricular,,,codigo_curso NOT IN recurso_aprendizaje,[entity:recurso][filter:null][intent:list]
613,Promedio de publicaciones por recurso en Enfermería,aggregate,,recurso_aprendizaje,,AVG(anio_publicacion),programa=Enfermeria,[programa:Enfermeria][entity:recurso][intent:aggregate]
614,Recursos con DOI o URL válida en Medicina,count,,recurso_aprendizaje,,COUNT,url_recurso IS NOT NULL&programa=Medicina,[entity:recurso][filter:url][intent:count][programa:Medicina]
615,Recursos de revistas científicas indexadas en Sistemas,list,,recurso_aprendizaje,,,tipo_recurso=revista&programa=Sistemas,[entity:recurso][filter:tipo][intent:list][programa:Sistemas]
616,Distribución de recursos por año de publicación en Psicología,count,bar,recurso_aprendizaje,anio_publicacion,COUNT,programa=Psicologia,[programa:Psicologia][entity:recurso][temporal][intent:count]
617,Cuántos ítems de C1 son de la condición básica 5,count,,sunedu_formato_item,,COUNT,codigo_formato=C1&condicion_basica=5,[entity:sunedu][filter:C1][filter:condicion]
618,Evidencias del componente curricular de C2 por programa,count,bar,sunedu_evidencia_curricular,programa_estudio,COUNT,codigo_formato=C2&componente=curricular,[entity:sunedu][filter:C2][filter:componente]
619,Cuántos ítems de C1 aplican solo a educación a distancia,count,,sunedu_formato_item,,COUNT,codigo_formato=C1&aplica_distancia=si&aplica_presencial=no,[entity:sunedu][filter:C1][modalidad:distancia]
620,Evidencias observadas en Teología para C1,list,,sunedu_evidencia_curricular,,,programa=Teologia&codigo_formato=C1&estado=observado,[entity:sunedu][programa:Teologia][filter:C1]
621,Cuántos requisitos cumple Enfermería en C2,count,,sunedu_evidencia_curricular,,COUNT,programa=Enfermeria&codigo_formato=C2&estado=validado,[entity:sunedu][programa:Enfermeria][filter:C2]
622,Evidencias de Sistemas en C1 por componente,count,bar,sunedu_evidencia_curricular,componente,COUNT,programa=Sistemas&codigo_formato=C1,[programa:Sistemas][entity:sunedu][filter:C1]
623,Cuántos ítems de C2 son optativos para posgrado,count,,sunedu_formato_item,,COUNT,codigo_formato=C2&aplica_posgrado=si&obligatorio=no,[entity:sunedu][filter:C2][nivel:posgrado]
624,Distribución de evidencias por condición básica SUNEDU,count,bar,sunedu_evidencia_curricular,condicion_basica,COUNT,,[entity:sunedu][dimension:condicion][intent:count]
625,Estado de validación de C1 en Ciencias Empresariales,count,bar,sunedu_evidencia_curricular,estado_validacion,COUNT,facultad=Ciencias Empresariales&codigo_formato=C1,[entity:sunedu][facultad:Empresariales][filter:C1]
626,Cuántos cursos de Sistemas tienen prerrequisito en el ciclo 3,count,,malla_curricular,,COUNT,programa=Sistemas&ciclo=3&requisito IS NOT NULL,[programa:Sistemas][ciclo:3][filter:requisito]
627,Cuántos créditos acumula el ciclo 7 de Ingeniería Civil,aggregate,,malla_curricular,,SUM(creditos),programa=Civil&ciclo=7,[programa:Civil][ciclo:7][metric:creditos]
628,Cursos sin prerrequisito en Enfermería ciclo 2,list,,malla_curricular,,,programa=Enfermeria&ciclo=2&requisito IS NULL,[programa:Enfermeria][ciclo:2][filter:requisito]
629,Distribución de prerrequisitos por área en Sistemas,count,bar,malla_curricular,area_formacion,COUNT,programa=Sistemas&requisito IS NOT NULL,[programa:Sistemas][dimension:area][filter:requisito]
630,Total de créditos del ciclo 6 de Administración,aggregate,,malla_curricular,,SUM(creditos),programa=Administracion&ciclo=6,[programa:Administracion][ciclo:6][metric:creditos]
631,cuantos cursos de formacion biblica tiene teologia,count,,malla_curricular,,COUNT,programa=Teologia&area_formacion=biblica,[adventista][programa:Teologia][area:biblica]
632,lista de cursos de servicio adventista en todas las carreras,list,,malla_curricular,,,curso CONTAINS servicio,[adventista][intent:list][multi_programa]
633,cuantos programas tienen curso de etica cristiana,count,,malla_curricular,,COUNT(DISTINCT programa_estudio),curso CONTAINS etica cristiana,[adventista][filter:curso][intent:count]
634,recursos de administracion de salud en enfermería juliaca,list,,recurso_aprendizaje,,,curso CONTAINS salud&programa=Enfermeria&sede=Juliaca,[programa:Enfermeria][sede:Juliaca][filter:curso]
635,cuantos items de sunedu aplican a enfermeria,count,,sunedu_formato_item,,COUNT,aplica_pregrado=si,[entity:sunedu][nivel:pregrado][intent:count]
636,distribución de horas por sede y modalidad en upeu,aggregate,bar,malla_curricular,sede,AVG(horas_totales),,[institution:UPEU][dimension:sede][dimension:modalidad][metric:horas]
637,cuántas versiones de plan tiene ingeniería de sistemas,count,,plan_estudios,,COUNT,programa=Sistemas,[programa:Sistemas][entity:version][intent:count]
638,recursos de anatomía patológica en medicina,list,,recurso_aprendizaje,,,curso CONTAINS anatomia&programa=Medicina,[programa:Medicina][filter:curso][entity:recurso]
639,cuántos sílabos de obstetricia tienen unidades completas,count,,silabos,,COUNT,programa=Obstetricia&ra_unitario IS NOT NULL,[programa:Obstetricia][entity:ra_unitario][filter:null]
640,graficame la distribución de créditos entre las tres sedes,chart,bar,malla_curricular,sede,AVG(creditos),,[dimension:sede][metric:creditos][intent:chart][multi_sede]
641,Cuántos cursos de Sistemas están en los primeros 3 ciclos,count,,malla_curricular,,COUNT,programa=Sistemas&ciclo <= 3,[programa:Sistemas][dimension:ciclo][filter:range][intent:count]
642,Cursos de especialidad en los últimos 2 ciclos de Medicina,list,,malla_curricular,,,programa=Medicina&ciclo >= 9&area_formacion=Especialidad,[programa:Medicina][dimension:ciclo][area:especialidad]
643,Promedio de créditos en los ciclos superiores de Enfermería,aggregate,,malla_curricular,,AVG(creditos),programa=Enfermeria&ciclo >= 6,[programa:Enfermeria][dimension:ciclo][metric:creditos]
644,Cuántos cursos transversales hay en el ciclo 1 de UPEU,count,,malla_curricular,,COUNT,ciclo=1&tipo_curso=transversal,[institution:UPEU][ciclo:1][filter:tipo_curso]
645,Distribución de horas en los primeros 5 ciclos de Administración,aggregate,bar,malla_curricular,ciclo,SUM(horas_totales),programa=Administracion&ciclo <= 5,[programa:Administracion][dimension:ciclo][metric:horas]
646,Total de créditos acumulados hasta el ciclo 8 en Sistemas,aggregate,,malla_curricular,,SUM(creditos),programa=Sistemas&ciclo <= 8,[programa:Sistemas][dimension:ciclo][metric:creditos]
